$	0m	0m	1m	1m	1m	2m	2m	2m
CCME-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
CDPDIGLYPYPHOSPHA-MONOMER	63.0000	63.0000	63.0000	63.0000	63.0000	63.0000	63.0000	63.0000
CDPDIGLYSYN-MONOMER	107.0000	107.0000	107.0000	107.0000	107.0000	107.0000	108.0952	109.5909
CELA-MONOMER	61.0000	61.0000	61.0000	61.0000	61.0000	61.0000	61.0000	61.0000
CELB-MONOMER	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000
CELC-MONOMER	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000
CFA-MONOMER	179.0000	179.0000	179.0000	179.0000	179.0000	179.0000	179.0000	179.0000
CHAA-MONOMER	152.0000	152.0000	152.0000	152.0000	152.0000	152.0000	152.0000	152.0000
CHAINF-MONOMER	405.0000	410.8095	416.3333	425.3182	433.4286	440.9545	446.2381	452.8182
CHAINI-MONOMER	215.0000	216.0000	219.8095	228.0455	231.0000	231.0000	231.0000	231.0000
CHD-MONOMER	95.0000	95.0000	95.0000	95.0000	95.0000	95.0000	95.0000	95.0000
CHEB-MONOMER	1878.0000	1879.4762	1883.4762	1887.4545	1891.4286	1895.0000	1895.1429	1900.7273
CHER-MONOMER	1900.0000	1901.4762	1905.1429	1907.1818	1910.0000	1923.3636	1932.5238	1939.1818
CHEW-MONOMER	4478.0000	4496.6667	4527.9048	4554.3636	4584.0000	4616.1364	4645.8571	4676.7273
CHEY-MONOMER	2089.0000	2090.8571	2094.4762	2096.9091	2098.9048	2101.2273	2107.2857	2113.2727
CHEZ-MONOMER	1938.0000	1940.4762	1944.0952	1945.7273	1948.9524	1952.6364	1957.1905	1962.7273
CHORISMUTPREPHENDEHYDRAT-MONOMER	2303.0000	2307.7143	2311.8571	2312.0000	2312.0000	2317.2273	2326.6190	2336.7727
